StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,IDs_1,IDs_2,Cont_Timer_First Click,Cont_Timer_Last Click,Cont_Timer_Page Submit,Cont_Timer_Click Count,KM_P_1,KM_P_2,KM_P_3,KM_P_10,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,PPI_5,PPI_7,PPI_8,PPRM_DO,SEP_Pre_1,SEP_Pre_2,SEP_Pre_3,SEP_Pre_DO,IOS_Pre,AttCheck,AttCheck_DO,PrevExp,FL_12_DO,"++KAMMUSTwoZickfeldetal.,2019_DO"
11/18/2022 11:42,11/18/2022 12:17,0,129.215.52.229,100,2123,1,11/18/2022 12:17,R_xuBGEm1j6XFVuQ9,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2106,1212,0,0,208.015,0,1,1,1,1,1,3,1,1,1,4,1,1,KM_P_2|KM_P_6|KM_P_12|KM_P_11|KM_P_9|KM_P_10|KM_P_1|KM_P_5|KM_P_4|KM_P_3|KM_P_7|KM_P_8,1,1,1,1,4|1|2|3,1,1,1,3,4|1|3|2,5,3,1,1,1|2|3,4,5,5,PPI_8|PPI_7|PPI_5,7,6,1,3|1|2,6,7,3|2|7|4|5|9|6,1,"IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)",KM_L|KM_P|KM_P|KM_PA|KM_CSR
11/18/2022 11:42,11/18/2022 12:18,0,129.215.52.167,100,2145,1,11/18/2022 12:18,R_2CECjwyOn0tdZQZ,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2106,1211,0,0,216.159,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_8|KM_P_2|KM_P_3|KM_P_1|KM_P_11|KM_P_7|KM_P_6|KM_P_10|KM_P_9|KM_P_5|KM_P_4|KM_P_12,1,1,1,1,2|4|3|1,1,1,1,1,4|3|2|1,3,1,1,1,2|1|3,5,5,5,PPI_8|PPI_5|PPI_7,6,6,3,1|2|3,7,7,9|2|3|7|5|4|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_P|KM_PA|KM_P|KM_CSR|KM_L
11/18/2022 15:57,11/18/2022 16:05,0,129.215.52.167,100,476,1,11/18/2022 16:05,R_2R4XBuuiOIgQfbD,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2076,1152,0,0,240.231,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_2|KM_P_1|KM_P_4|KM_P_6|KM_P_7|KM_P_11|KM_P_8|KM_P_3|KM_P_9|KM_P_12|KM_P_10|KM_P_5,2,2,3,4,1|2|3|4,1,1,1,1,3|1|4|2,4,1,1,1,1|3|2,5,5,5,PPI_7|PPI_5|PPI_8,7,7,1,1|3|2,5,7,5|9|3|7|2|4|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_CSR|KM_P|KM_P|KM_PA|KM_L
11/18/2022 15:56,11/18/2022 16:09,0,129.215.52.229,100,770,1,11/18/2022 16:09,R_2rwFk8UGb2MCOBc,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2076,1151,0,0,299.487,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_8|KM_P_1|KM_P_5|KM_P_6|KM_P_12|KM_P_3|KM_P_11|KM_P_10|KM_P_7|KM_P_2|KM_P_4|KM_P_9,1,1,1,1,3|1|2|4,1,1,1,1,3|4|1|2,4,1,1,1,1|3|2,5,5,5,PPI_5|PPI_7|PPI_8,7,7,1,1|3|2,6,7,4|3|9|2|5|7|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_L|KM_P|KM_PA|KM_P|KM_CSR
11/19/2022 12:59,11/19/2022 13:09,0,129.215.52.167,100,585,1,11/19/2022 13:09,R_3qsuGnmmGz4j2Fi,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2048,1095,0,0,210.405,0,1,1,1,1,1,1,6,1,1,5,1,1,KM_P_2|KM_P_8|KM_P_9|KM_P_6|KM_P_3|KM_P_5|KM_P_10|KM_P_7|KM_P_12|KM_P_4|KM_P_1|KM_P_11,1,1,1,1,3|1|2|4,1,1,1,1,2|1|3|4,5,1,1,1,1|3|2,5,4,5,PPI_8|PPI_7|PPI_5,3,5,2,3|2|1,2,7,2|4|5|7|3|9|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_L|KM_CSR|KM_P|KM_PA|KM_P
11/19/2022 12:59,11/19/2022 13:10,0,129.215.52.229,100,702,1,11/19/2022 13:10,R_24oSGbFKIq1uOw5,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2048,1096,0,0,209.595,0,1,1,1,1,1,1,1,1,1,6,1,2,KM_P_2|KM_P_7|KM_P_9|KM_P_3|KM_P_1|KM_P_12|KM_P_5|KM_P_10|KM_P_11|KM_P_6|KM_P_8|KM_P_4,1,1,1,2,3|1|2|4,1,1,1,1,1|3|4|2,6,4,1,1,2|1|3,5,5,5,PPI_5|PPI_7|PPI_8,7,7,1,1|2|3,7,7,3|4|2|7|9|5|6,1,"IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)",KM_PA|KM_CSR|KM_P|KM_P|KM_L
11/21/2022 16:59,11/21/2022 17:05,0,129.215.52.229,100,365,1,11/21/2022 17:05,R_1o7vFxf36Pqizm6,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2116,1232,0,0,207.294,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_5|KM_P_2|KM_P_11|KM_P_8|KM_P_9|KM_P_6|KM_P_10|KM_P_7|KM_P_1|KM_P_12|KM_P_3|KM_P_4,1,1,1,1,4|1|3|2,1,1,4,1,4|2|3|1,4,1,1,1,2|1|3,5,5,5,PPI_7|PPI_5|PPI_8,7,7,1,2|3|1,6,7,9|4|3|5|7|2|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_PA|KM_L|KM_P|KM_P|KM_CSR
11/21/2022 16:59,11/21/2022 17:05,0,129.215.52.167,100,362,1,11/21/2022 17:05,R_2qrs1IlvRTUAjsO,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2116,1231,207.375,207.375,208.571,1,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_9|KM_P_12|KM_P_4|KM_P_5|KM_P_10|KM_P_3|KM_P_7|KM_P_6|KM_P_11|KM_P_1|KM_P_2|KM_P_8,1,1,1,1,4|2|1|3,1,1,1,1,3|4|2|1,4,2,1,1,2|1|3,5,5,5,PPI_5|PPI_7|PPI_8,7,7,1,1|3|2,5,7,7|9|4|3|5|2|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)",KM_L|KM_CSR|KM_P|KM_PA|KM_P
11/28/2022 16:00,11/28/2022 16:04,0,129.215.52.167,100,221,1,11/28/2022 16:04,R_3lsFFYukiWPWw5M,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2098,1196,0,0,57.928,0,,,,,,,,1,,,,,KM_P_7|KM_P_6|KM_P_3|KM_P_11|KM_P_2|KM_P_12|KM_P_5|KM_P_1|KM_P_10|KM_P_9|KM_P_8|KM_P_4,,,,5,3|2|1|4,,,,4,3|1|2|4,,,,,2|1|3,,,,PPI_7|PPI_8|PPI_5,,,,3|2|1,,,9|7|2|3|5|4|6,,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_PA|KM_L|KM_P|KM_P|KM_CSR
11/28/2022 16:00,11/28/2022 16:11,0,129.215.52.229,100,655,1,11/28/2022 16:11,R_2YPblL0hmkNWytL,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2098,1195,0,0,220.742,0,1,1,1,1,1,1,1,1,1,2,1,1,KM_P_9|KM_P_6|KM_P_7|KM_P_2|KM_P_3|KM_P_5|KM_P_11|KM_P_10|KM_P_8|KM_P_12|KM_P_4|KM_P_1,1,1,1,1,4|1|3|2,2,1,1,1,1|4|3|2,3,2,1,1,1|2|3,5,5,5,PPI_7|PPI_5|PPI_8,6,6,1,1|2|3,6,7,4|5|2|3|9|7|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_P|KM_PA|KM_P|KM_L|KM_CSR
