StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,IDs_1,IDs_2,KM_Timer_First Click,KM_Timer_Last Click,KM_Timer_Page Submit,KM_Timer_Click Count,KM_P_1,KM_P_2,KM_P_3,KM_P_10,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,PPI_5,PPI_7,PPI_8,PPRM_DO,IOS_Pre,SEP_Pre_1,SEP_Pre_2,SEP_Pre_3,SEP_Pre_DO,AttCheck,AttCheck_DO,PrevExp,FL_6_DO,"++KAMMUSTwoZickfeldetal.,2019_DO"
11/14/2022 16:01,11/14/2022 16:11,0,129.215.52.167,100,578,1,11/14/2022 16:11,R_tPTsT1cK9iJZB8l,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2093,1186,0,0,231.306,0,1,1,5,6,3,3,3,2,1,6,5,4,KM_P_4|KM_P_12|KM_P_5|KM_P_2|KM_P_11|KM_P_7|KM_P_9|KM_P_8|KM_P_1|KM_P_6|KM_P_10|KM_P_3,6,5,7,4,1|4|3|2,6,7,6,4,4|1|2|3,6,7,5,5,2|1|3,4,4,4,PPI_5|PPI_8|PPI_7,5,7,7,2,2|1|3,3,5|4|7|3|2|9|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_P|KM_PA|KM_L|KM_CSR|KM_P
11/14/2022 16:01,11/14/2022 16:13,0,129.215.52.229,100,742,1,11/14/2022 16:13,R_1dFtQJZ69VMbNuh,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2093,1185,0,0,181.091,0,1,1,1,1,3,2,1,1,1,4,1,2,KM_P_6|KM_P_8|KM_P_9|KM_P_1|KM_P_3|KM_P_4|KM_P_12|KM_P_2|KM_P_7|KM_P_10|KM_P_5|KM_P_11,4,4,4,4,1|4|2|3,5,5,6,4,3|2|1|4,6,5,4,3,2|1|3,5,5,5,PPI_8|PPI_7|PPI_5,3,7,7,1,2|3|1,3,5|7|2|4|9|3|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|IOS|PPRMotive(adaptedReisetal.,2018)",KM_P|KM_P|KM_L|KM_CSR|KM_PA
11/14/2022 17:08,11/14/2022 17:16,0,129.215.52.167,100,505,1,11/14/2022 17:16,R_OQenKk0B9Wmsb9D,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2079,1158,0,0,184.986,0,3,1,1,1,5,5,4,3,2,5,4,1,KM_P_2|KM_P_5|KM_P_10|KM_P_11|KM_P_4|KM_P_7|KM_P_9|KM_P_3|KM_P_12|KM_P_1|KM_P_8|KM_P_6,5,5,4,6,3|4|1|2,5,6,6,3,4|2|3|1,7,7,4,6,1|3|2,5,5,5,PPI_8|PPI_7|PPI_5,5,6,6,2,2|3|1,3,5|2|7|9|3|4|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|IOS|PPRMotive(adaptedReisetal.,2018)",KM_CSR|KM_P|KM_L|KM_PA|KM_P
11/14/2022 17:07,11/14/2022 17:17,0,129.215.52.229,100,567,1,11/14/2022 17:17,R_2TBmX7Z1wiAyrEY,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2079,1157,0,0,187.534,0,4,2,1,4,6,5,2,1,3,5,5,3,KM_P_1|KM_P_10|KM_P_11|KM_P_3|KM_P_7|KM_P_4|KM_P_8|KM_P_2|KM_P_9|KM_P_12|KM_P_5|KM_P_6,3,2,4,3,4|3|1|2,4,6,5,4,1|3|2|4,6,6,6,6,2|1|3,5,5,5,PPI_8|PPI_7|PPI_5,5,5,6,2,2|1|3,3,2|3|9|7|4|5|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_L|KM_P|KM_PA|KM_P|KM_CSR
11/16/2022 17:02,11/16/2022 17:09,0,129.215.52.229,100,447,1,11/16/2022 17:09,R_UJTCSOsAwUz4uRz,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2083,1166,0,0,179.864,0,1,1,1,1,3,2,1,3,1,4,2,3,KM_P_1|KM_P_7|KM_P_4|KM_P_10|KM_P_2|KM_P_6|KM_P_8|KM_P_5|KM_P_11|KM_P_12|KM_P_3|KM_P_9,6,5,4,6,3|4|1|2,6,7,4,6,4|1|3|2,6,5,6,6,1|3|2,5,5,4,PPI_5|PPI_7|PPI_8,5,6,7,1,2|1|3,3,9|7|5|3|2|4|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_CSR|KM_L|KM_PA|KM_P|KM_P
11/16/2022 17:02,11/16/2022 17:11,0,129.215.52.167,100,551,1,11/16/2022 17:11,R_ZyFbGqtYSbFFxU5,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2083,1165,24.751,24.751,178.945,1,1,1,3,1,4,4,1,1,1,5,2,1,KM_P_6|KM_P_2|KM_P_3|KM_P_5|KM_P_11|KM_P_9|KM_P_8|KM_P_10|KM_P_1|KM_P_4|KM_P_12|KM_P_7,5,6,7,1,1|2|4|3,3,2,6,1,2|4|3|1,7,5,5,5,3|1|2,5,5,5,PPI_7|PPI_8|PPI_5,4,6,7,1,1|2|3,3,2|7|4|3|5|9|6,1,"IOS|SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)",KM_P|KM_P|KM_CSR|KM_L|KM_PA
11/18/2022 17:02,11/18/2022 17:10,0,129.215.52.229,100,446,1,11/18/2022 17:10,R_2WAbPJ3fdRxchjy,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2049,1098,0,0,186.539,0,1,1,4,2,4,2,1,3,1,1,4,2,KM_P_4|KM_P_11|KM_P_9|KM_P_7|KM_P_1|KM_P_2|KM_P_12|KM_P_10|KM_P_5|KM_P_8|KM_P_3|KM_P_6,6,5,5,5,1|3|4|2,5,1,4,5,4|1|2|3,3,4,3,2,1|2|3,5,5,5,PPI_7|PPI_8|PPI_5,5,6,7,1,2|3|1,3,7|4|2|3|9|5|6,1,"IOS|SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)",KM_CSR|KM_P|KM_PA|KM_L|KM_P
11/18/2022 17:03,11/18/2022 17:12,0,129.215.52.167,100,568,1,11/18/2022 17:12,R_A0buGpuxqPpONtn,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2049,1097,0,0,192.828,0,5,1,4,2,7,6,5,4,4,6,6,4,KM_P_2|KM_P_7|KM_P_12|KM_P_3|KM_P_6|KM_P_8|KM_P_1|KM_P_5|KM_P_10|KM_P_9|KM_P_11|KM_P_4,5,3,4,7,2|1|3|4,6,4,7,6,1|2|3|4,7,6,7,7,1|2|3,5,5,5,PPI_5|PPI_8|PPI_7,4,6,7,1,3|2|1,3,3|5|2|4|7|9|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)|IOS",KM_P|KM_P|KM_L|KM_PA|KM_CSR
11/23/2022 9:53,11/23/2022 10:08,0,129.215.52.167,100,911,1,11/23/2022 10:08,R_2frMhxpzBnLauMf,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2215,1129,17.232,17.232,186.524,1,5,3,3,4,5,5,5,4,1,6,5,4,KM_P_6|KM_P_2|KM_P_1|KM_P_11|KM_P_7|KM_P_9|KM_P_5|KM_P_3|KM_P_10|KM_P_12|KM_P_4|KM_P_8,3,4,5,5,3|4|2|1,7,6,6,5,3|4|1|2,6,6,6,6,3|2|1,5,5,5,PPI_5|PPI_7|PPI_8,6,6,7,1,1|3|2,3,7|2|3|5|4|9|6,1,"PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006|IOS",KM_CSR|KM_P|KM_P|KM_PA|KM_L
11/23/2022 9:53,11/23/2022 10:10,0,129.215.52.229,100,969,1,11/23/2022 10:10,R_2pLSi9JePG9NvHM,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2215,1230,0,0,191.99,0,3,2,5,5,5,4,5,6,1,6,1,3,KM_P_4|KM_P_5|KM_P_12|KM_P_8|KM_P_1|KM_P_3|KM_P_2|KM_P_6|KM_P_11|KM_P_7|KM_P_9|KM_P_10,6,6,6,6,3|2|1|4,7,6,6,4,2|3|4|1,6,6,6,5,2|1|3,5,5,5,PPI_7|PPI_8|PPI_5,3,7,7,1,2|3|1,2,9|2|7|3|4|5|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)|IOS",KM_P|KM_P|KM_CSR|KM_L|KM_PA
